REF_ID;ORDEMBD;STUDY_AIM;SPECIES;SP_ORIGIN;POP_STATUS;SITE;AREA_HA;MUNICIPALITY;STATE;COUNTRY;LONGITUDE_X;LATITUDE_Y;PRECISION;UC;ANNUAL_TEMP;ANNUAL_RAIN;ALTITUDE;VEG_TYPE;BUFFER_20KM;OLSONECONAME;OLSONG200R;RIBEIROVEGTYPE;BSRS;METHOD;INST_NAME;COL_STRT_MO;COL_STRT_YR;COL_END_MO;COL_END_YR;LTR_EFF;CAM_EFF;SURV_EFF;;;
Unpublished data. Di Bitetti, M. S., et al.;Agostini_etal_64;OCCUR;Sapajus nigritus;Autochtone;NA;Private land (Miot);na;San Pedro;MISIONES;Argentina;-53.92715;-26.82711667;Not precise;No;24.1;1800;308;Semideciduous forest;inside the 20 km polygon;Alto Parana Atlantic forests;Atlantic Forests;NA;NA;Interview;NA;August;2010;NA;NA;NA;NA;NA;;;
Unpublished data. Di Bitetti, M. S., et al.;Agostini_etal_65;OCCUR;Alouatta guariba;Autochtone;NA;Parque Provincial Cruce Caballero;522;San Pedro;MISIONES;Argentina;-53.99003333;-26.52093333;Precise;Yes;22.7;1863;572;Semideciduous forest;inside the 20 km polygon;Araucaria moist forests;Atlantic Forests;NA;NA;Survey;NA;December;1999;NA;NA;NA;NA;NA;;;
Unpublished data. Di Bitetti, M. S., et al.;Agostini_etal_66;OCCUR;Sapajus nigritus;Autochtone;NA;Parque Provincial Cruce Caballero;522;San Pedro;MISIONES;Argentina;-53.99003333;-26.52093333;Precise;Yes;22.7;1863;572;Semideciduous forest;inside the 20 km polygon;Araucaria moist forests;Atlantic Forests;NA;NA;Survey;NA;December;1999;NA;NA;NA;NA;NA;;;
Unpublished data. Di Bitetti, M. S., et al.;Agostini_etal_67;OCCUR;Alouatta caraya;Autochtone;NA;Lago Urugua-i Protected Landscape;8400;Wanda;MISIONES;Argentina;-54.421535;-25.912185;Precise;Yes;25.6;1695;199;Flooded savana;inside the 20 km polygon;Alto Parana Atlantic forests;Atlantic Forests;NA;NA;Survey;NA;January;2017;Current;NA;NA;NA;NA;;;
Unpublished data. Di Bitetti, M. S., et al.;Agostini_etal_68;OCCUR;Alouatta caraya;Autochtone;NA;Santa Cecilia Private Reserve;7000;Candelaria;MISIONES;Argentina;-55.71635;-27.449232;Precise;Yes;26.1;1712;91;Semideciduous forest;inside the 20 km polygon;Southern Cone Mesopotamian savanna;NA;NA;NA;Survey;NA;January;2017;Current;NA;NA;NA;NA;;;
REF0803;Agostini_etal_7;OCCUR;Alouatta caraya;Autochtone;NA;Yacutinga Private Reserve;550;Andresito;MISIONES;Argentina;-54.07;-25.58;Precise;Yes;24.8;1768;219;"Semideciduous forest; Palmital";inside the 20 km polygon;Alto Parana Atlantic forests;Atlantic Forests;NA;NA;Survey;NA;NA;2008;NA;2008;NA;NA;NA;;;
REF0803;Agostini_etal_8;OCCUR;Alouatta caraya;Autochtone;NA;Guira-Pe Private Reserve;NA;Andresito;MISIONES;Argentina;-54.12;-25.51;Precise;No;25;1765;204;NA;inside the 20 km polygon;Alto Parana Atlantic forests;Atlantic Forests;NA;NA;Survey;NA;NA;2008;NA;2008;NA;NA;NA;;;
REF0803;Agostini_etal_9;OCCUR;Alouatta guariba;Autochtone;NA;Caa-Yari Provincial Park;4783;El Soberbio;MISIONES;Argentina;-54.23;-26.88;Precise;Yes;23.6;1772;524;NA;inside the 20 km polygon;Araucaria moist forests;Atlantic Forests;NA;NA;Survey;NA;NA;2008;NA;2008;NA;NA;NA;;;
REF0679;Almeida_AS_plan_1_1;OCCUR;Brachyteles hypoxanthus;Autochtone;NA;Parque Nacional de Itatiaia (Abrigo da Agua Branca);30000;RESENDE;RIO DE JANEIRO;Brazil;-44.3628;-22.2558;Precise;Yes;21.3;1538;1150;Dense Ombrophilous forest;inside the 20 km polygon;Alto Parana Atlantic forests;Atlantic Forests;Floresta Estacional Semidecidual;Florestas de Interior;Survey;NA;December;2010;November;2012;NA;NA;NA;;;
REF0699;Almeida_AS_plan_1_100;OCCUR;Brachyteles hypoxanthus;Autochtone;NA;Reserva Particular Feliciano Miguel Abdala (Grupo Jao);957;SANTA RITA DO ITUETO;MINAS GERAIS;Brazil;-41.5;-19.5;Precise;Yes;25.5;1202;199;Semideciduous forest;inside the 20 km polygon;Bahia interior forests;Atlantic Forests;Floresta Estacional Semidecidual;Florestas de Interior;Survey;NA;August;2014;July;2015;NA;NA;NA;;;
REF0699;Almeida_AS_plan_1_101;OCCUR;Brachyteles hypoxanthus;Autochtone;NA;Reserva Particular Feliciano Miguel Abdala (Grupo M2);957;SANTA RITA DO ITUETO;MINAS GERAIS;Brazil;-41.5;-19.5;Precise;Yes;25.5;1202;199;Semideciduous forest;inside the 20 km polygon;Bahia interior forests;Atlantic Forests;Floresta Estacional Semidecidual;Florestas de Interior;Survey;NA;August;2014;July;2015;NA;NA;NA;;;
REF0699;Almeida_AS_plan_1_102;OCCUR;Brachyteles hypoxanthus;Autochtone;NA;Reserva Particular Feliciano Miguel Abdala (Grupo Nadir);957;SANTA RITA DO ITUETO;MINAS GERAIS;Brazil;-41.5;-19.5;Precise;Yes;25.5;1202;199;Semideciduous forest;inside the 20 km polygon;Bahia interior forests;Atlantic Forests;Floresta Estacional Semidecidual;Florestas de Interior;Survey;NA;August;2014;July;2015;NA;NA;NA;;;
REF0699;Almeida_AS_plan_1_103;OCCUR;Brachyteles hypoxanthus;Autochtone;NA;Reserva Particular Feliciano Miguel Abdala (Grupo Matao);957;SANTA RITA DO ITUETO;MINAS GERAIS;Brazil;-41.5;-19.5;Precise;Yes;25.5;1202;199;Semideciduous forest;inside the 20 km polygon;Bahia interior forests;Atlantic Forests;Floresta Estacional Semidecidual;Florestas de Interior;Survey;NA;August;2014;July;2015;NA;NA;NA;;;
REF0700;Almeida_AS_plan_1_104;OCCUR;Alouatta caraya;Autochtone;NA;Mata de Galeria;23;SAO NICOLAU;RIO GRANDE DO SUL;Brazil;-55.2626;-28.2327;Not precise;NA;26.4;1784;94;Semideciduous forest;inside the 20 km polygon;Uruguayan savanna;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;;
REF0701;Almeida_AS_plan_1_105;OCCUR;Callithrix jacchus;Autochtone;NA;Jaguare;10;CABO DE SANTO AGOSTINHO;PERNAMBUCO;Brazil;-35.1144;-8.3252;Precise;NA;25.8;1886;116;Dense Ombrophilous forest;inside the 20 km polygon;Pernambuco coastal forests;Atlantic Forests;Floresta Ombrofila Densa;Pernambuco;Survey;NA;January;2010;October;2010;NA;NA;NA;;;
